condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
hand,0,0,0,1,29.633627499992144,None,34.60955349999131,None,37.60969109999132,None,37.60969109999132,None,39.10983770000166,None,44.093293799989624,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,0,1,1,0,,,46.09337969998887,None,49.11017699999502,None,49.11017699999502,None,50.61033270000189,None,55.59387699999206,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,1,0,2,1,,,57.5939292999974,None,60.610674899988226,None,60.610674899988226,None,62.11080409999704,None,67.09435549999762,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,1,1,3,0,,,69.09437510000134,None,72.1112870999932,None,72.1112870999932,None,73.61133809998864,None,78.59486849998939,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,2,0,4,0,,,80.59492930000124,None,83.59498209999583,None,83.59498209999583,None,85.09506469999906,None,90.09527890000027,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,2,1,5,0,,,92.07875200000126,None,95.07883030000085,None,95.07883030000085,None,96.57894569999189,None,101.57909929999732,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,3,0,6,1,,,103.57918909999717,None,106.59597429999849,None,106.59597429999849,None,108.0960514999897,None,113.07959280000068,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,3,1,7,1,,,115.07967839999765,None,118.0798489000008,None,118.0798489000008,None,119.57994389999658,None,124.5800770999922,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,4,0,8,0,,,126.58027289999882,None,129.5969441999914,None,129.5969441999914,None,131.09706649999134,None,136.08056469999428,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,4,1,9,1,,,138.0806472999975,None,141.09743389999494,None,141.09743389999494,None,142.59756189999462,None,147.58104699999967,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,5,0,10,0,,,149.58112550000078,None,152.59796649999043,None,152.59796649999043,None,154.09796679999272,None,159.08157429999846,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,5,1,11,1,,,161.08160119999957,None,164.09845239999413,None,164.09845239999413,None,165.5985159999982,None,170.58203249999497,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,6,0,12,1,,,172.58212649999768,None,175.5823376999906,None,175.5823376999906,None,177.0823507999885,None,182.08252349999384,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,6,1,13,0,,,184.08477429999039,None,187.09932759999356,None,187.09932759999356,None,188.5994587999885,None,193.58297609999136,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,7,0,14,1,,,195.58299529999204,None,198.5998067999899,None,198.5998067999899,None,200.099853599997,None,205.08340509999834,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
